# ID(s) interactor A,ID(s) interactor B,Alt. ID(s) interactor A,Alt. ID(s) interactor B,Alias(es) interactor A,Alias(es) interactor B,Interaction detection method(s),Publication 1st author(s),Publication Identifier(s),Taxid interactor A,Taxid interactor B,Interaction type(s),Source database(s),Interaction identifier(s),Confidence value(s)
uniprotkb:O22230,uniprotkb:F4JI72,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT4G03250.1|intact:EBI-15192535|uniprotkb:F4JI72,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:f4ji72_arath(display_short)|uniprotkb:F4C21.18(orf name)|uniprotkb:F4C21_18(orf name)|uniprotkb:At4g03250(locus name),"psi-mi:""MI:0397""(two hybrid array)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15385536|imex:IM-25740-5003,intact-miscore:0.56
uniprotkb:O22230,uniprotkb:Q9M2V2,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,intact:EBI-15192147|uniprotkb:Q9M2V2,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:q9m2v2_arath(display_short)|uniprotkb:At3g54350(locus name)|uniprotkb:T12E18_40(gene name),"psi-mi:""MI:2277""(Cr-two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15350530|imex:IM-25740-89,intact-miscore:0.49
uniprotkb:O22230,uniprotkb:F4JI72,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT4G03250.1|intact:EBI-15192535|uniprotkb:F4JI72,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:f4ji72_arath(display_short)|uniprotkb:F4C21.18(orf name)|uniprotkb:F4C21_18(orf name)|uniprotkb:At4g03250(locus name),"psi-mi:""MI:2277""(Cr-two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15357368|imex:IM-25740-1217,intact-miscore:0.56
uniprotkb:O22230,uniprotkb:F4JI72,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT4G03250.1|intact:EBI-15192535|uniprotkb:F4JI72,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:f4ji72_arath(display_short)|uniprotkb:F4C21.18(orf name)|uniprotkb:F4C21_18(orf name)|uniprotkb:At4g03250(locus name),"psi-mi:""MI:1356""(validated two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-16375822|imex:IM-25740-18780,intact-miscore:0.56
uniprotkb:O22230,uniprotkb:Q9M2V2,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,intact:EBI-15192147|uniprotkb:Q9M2V2,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:q9m2v2_arath(display_short)|uniprotkb:At3g54350(locus name)|uniprotkb:T12E18_40(gene name),"psi-mi:""MI:1356""(validated two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-16382943|imex:IM-25740-19957,intact-miscore:0.49
uniprotkb:O22230,uniprotkb:Q9M176,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,uniprotkb:Q9M176|intact:EBI-15212748|ensemblplants:AT3G43430.1,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:q9m176_arath(display_short)|uniprotkb:T5C2_130(gene name)|uniprotkb:At3g43430(locus name),"psi-mi:""MI:2277""(Cr-two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15370082|imex:IM-25740-3304,intact-miscore:0.37
uniprotkb:O22230,uniprotkb:O64647,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT2G45680.1|intact:EBI-9838721|uniprotkb:O64647,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:tcp9_arath(display_short)|psi-mi:Transcription factor TCP9(display_long)|uniprotkb:F17K2.21(orf name)|uniprotkb:At2g45680(locus name)|uniprotkb:TCP9(gene name),"psi-mi:""MI:0397""(two hybrid array)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15380241|imex:IM-25740-4980,intact-miscore:0.56
uniprotkb:O22230,uniprotkb:Q93Z00,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,uniprotkb:Q9SN76|ensemblplants:AT3G47620.1|intact:EBI-4424563|uniprotkb:Q93Z00,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:tcp14_arath(display_short)|psi-mi:Transcription factor TCP14(display_long)|uniprotkb:F1P2.170(orf name)|uniprotkb:At3g47620(locus name)|uniprotkb:TCP14(gene name),"psi-mi:""MI:0397""(two hybrid array)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15380309|imex:IM-25740-4991,intact-miscore:0.56
uniprotkb:O22230,uniprotkb:O81788,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT4G35550.1|intact:EBI-15193225|uniprotkb:O81788,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:wox13_arath(display_short)|psi-mi:WUSCHEL-related homeobox 13(display_long)|uniprotkb:F8D20.60(orf name)|uniprotkb:At4g35550(locus name)|uniprotkb:WOX13(gene name),"psi-mi:""MI:2277""(Cr-two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15404615|imex:IM-25740-8072,intact-miscore:0.37
uniprotkb:O22230,uniprotkb:Q9LXU1,ensemblplants:AT2G41690.1|intact:EBI-15192145|uniprotkb:O22230,ensemblplants:AT5G12980.1|intact:EBI-15193025|uniprotkb:Q9LXU1,psi-mi:hsfb3_arath(display_short)|psi-mi:Heat stress transcription factor B-3(display_long)|uniprotkb:AtHsf-05(gene name synonym)|uniprotkb:HSF05(gene name synonym)|uniprotkb:T32G6.21(orf name)|uniprotkb:At2g41690(locus name)|uniprotkb:HSFB3(gene name),psi-mi:q9lxu1_arath(display_short)|uniprotkb:PIM1(gene name synonym)|uniprotkb:T24H18.150(orf name)|uniprotkb:T24H18_150(orf name)|uniprotkb:At5g12980(locus name)|uniprotkb:NOT9B(gene name),"psi-mi:""MI:2277""(Cr-two hybrid)",Trigg SA et al.(2017),intact:EBI-15097123|pubmed:28650476|doi:10.1038/nmeth.4343|imex:IM-25740,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-15404621|imex:IM-25740-8073,intact-miscore:0.49
