# ID(s) interactor A,ID(s) interactor B,Alt. ID(s) interactor A,Alt. ID(s) interactor B,Alias(es) interactor A,Alias(es) interactor B,Interaction detection method(s),Publication 1st author(s),Publication Identifier(s),Taxid interactor A,Taxid interactor B,Interaction type(s),Source database(s),Interaction identifier(s),Confidence value(s)
uniprotkb:Q96331,uniprotkb:Q96331,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)","psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)","psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4510824|imex:IM-16043-3603,intact-miscore:0.37
uniprotkb:Q96331,uniprotkb:A0A088QF98,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:A0A088QF98|intact:EBI-9838186,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:a0a088qf98_9pezi(display_short)|uniprotkb:OEC88(gene name)|IntAct:OEC88(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")",taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9838483|imex:IM-23163-28,intact-miscore:0.49
uniprotkb:Q96331,uniprotkb:A0A088QF94,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,intact:EBI-9838545|uniprotkb:A0A088QF94,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:a0a088qf94_9pezi(display_short)|uniprotkb:OEC78(gene name)|IntAct:OEC78(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")",taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9838582|imex:IM-23163-37,intact-miscore:0.49
uniprotkb:Q96331,uniprotkb:A0A088QCT7,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:A0A088QCT7|intact:EBI-9838708,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:a0a088qct7_9pezi(display_short)|uniprotkb:OEC76(gene name)|IntAct:OEC76(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")",taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9838712|imex:IM-23163-50,intact-miscore:0.49
uniprotkb:Q96331,uniprotkb:A0A088QCP6,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:A0A088QCP6|intact:EBI-9839610,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:a0a088qcp6_9pezi(display_short)|uniprotkb:OEC117(gene name)|IntAct:OEC117(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")",taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9839614|imex:IM-23163-135,intact-miscore:0.49
uniprotkb:Q96331,uniprotkb:Q8W4S0,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:Q8W4S0|intact:EBI-4437980,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:q8w4s0_arath(display_short)|IntAct:AT1G24996(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4505552|imex:IM-16043-2944,intact-miscore:0.37
uniprotkb:Q96331,uniprotkb:Q94AC4,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:Q94AC4|intact:EBI-4450660,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:q94ac4_arath(display_short)|IntAct:AT2G25730(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4508528|imex:IM-16043-3316,intact-miscore:0.37
uniprotkb:A0A088QF98,uniprotkb:Q96331,uniprotkb:A0A088QF98|intact:EBI-9838186,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,psi-mi:a0a088qf98_9pezi(display_short)|uniprotkb:OEC88(gene name)|IntAct:OEC88(author assigned name),"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)","psi-mi:""MI:1112""(two hybrid prey pooling approach)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9839766|imex:IM-23163-150,intact-miscore:0.49
uniprotkb:A0A088QF94,uniprotkb:Q96331,intact:EBI-9838545|uniprotkb:A0A088QF94,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,psi-mi:a0a088qf94_9pezi(display_short)|uniprotkb:OEC78(gene name)|IntAct:OEC78(author assigned name),"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)","psi-mi:""MI:1112""(two hybrid prey pooling approach)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9839847|imex:IM-23163-159,intact-miscore:0.49
uniprotkb:Q96331,uniprotkb:A0A088QCT7,uniprotkb:O23640|uniprotkb:Q541V4|uniprotkb:Q9SAN6|ensemblplants:AT4G25200.1|intact:EBI-4424847|uniprotkb:Q96331,uniprotkb:A0A088QCT7|intact:EBI-9838708,"psi-mi:hs23m_arath(display_short)|psi-mi:23.6 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:F24A6.40(orf name)|uniprotkb:At4g25200(locus name)|uniprotkb:HSP23.6(gene name)|IntAct:AT4G25200(author assigned name)",psi-mi:a0a088qct7_9pezi(display_short)|uniprotkb:OEC76(gene name)|IntAct:OEC76(author assigned name),"psi-mi:""MI:1112""(two hybrid prey pooling approach)",Weßling R. et al.(2014),intact:EBI-9827595|pubmed:25211078|imex:IM-23163,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")",taxid:62715(golovinomyces orontii)|taxid:62715(golovinomyces orontii),"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-9839962|imex:IM-23163-172,intact-miscore:0.49
